id,genre,track_name,artist_name,valence,energy,mood_vec,distances
6BQgpQQ3X5xAqjAWgRWKOR,jazz,Peri's Scope,Bill Evans Trio,0.63,0.321,"[0.63, 0.321]",0.19312690128513943
1iN2trMoDZietCdDuCVLfW,jazz,Agreement,Barry Guy,0.357,0.603,"[0.357, 0.603]",0.21024033866030567
2fNCSdonK3E2ODMvAUx92e,jazz,And Here We Test Our Powers Of Observation,The Bad Plus,0.491,0.833,"[0.491, 0.833]",0.34754711910761105
3cm5GHqmFOAY8hpYdsbLDD,jazz,Do u wanna know?,Various Artists,0.69,0.659,"[0.69, 0.659]",0.23214219780126144
3NSPDDfM9xGG0mx2bOq11W,jazz,Turtle Shoes - Live,Bobby McFerrin,0.237,0.197,"[0.237, 0.197]",0.41508673792353334
1gcuhZPKmTYvn5VT5EZLR6,jazz,Cheek To Cheek,Ella Fitzgerald,0.677,0.311,"[0.677, 0.311]",0.22817756243767703
10TiIsRhDW0795Msycgs8E,jazz,Crooked Creek,Brian Blade,0.272,0.404,"[0.272, 0.404]",0.2741842446239389
7CnOzCWGrTINcDExG6u99y,jazz,Cool Struttin',Sonny Clark,0.48,0.48,"[0.48, 0.48]",0.053600373133029636
58ylMBq2yqYdHyevarkNWa,jazz,I Guess I'll Hang My Tears Out To Dry - Rudy Van Gelder Edition/Remastered 1999,Dexter Gordon,0.325,0.222,"[0.325, 0.222]",0.3376684764676739
1EliilR7zN8QLCO70fXfOR,jazz,A Beautiful Romance,Milt Jackson,0.244,0.0957,"[0.244, 0.0957]",0.48725792964301773
1N8rs8JCTO0J6itg8OV24o,jazz,April In Paris,Count Basie,0.359,0.437,"[0.359, 0.437]",0.18132015883513894
6f6OQJv9qjqyJq9NHin45n,jazz,Blue Ballad,Phil Woods,0.059,0.156,"[0.059, 0.156]",0.5787054518492115
1u9r8aNn7xgvdgjhvYJzmi,jazz,K,Various Artists,0.157,0.351,"[0.157, 0.351]",0.40018120895414366
643HteZrS2BZW5ILbOeVkk,jazz,"Gretel - Live From Dordrecht, Het Energiehuis / 2014",Snarky Puppy,0.0834,0.454,"[0.0834, 0.454]",0.4508837544201388
2BYWA1m6cPvLGxoguqVsRn,jazz,Second Line,Duke Ellington,0.658,0.505,"[0.658, 0.505]",0.12615070352558483
564Khg2mzPja306jcif1rI,jazz,Stolen Moments,Oliver Nelson,0.35,0.249,"[0.35, 0.249]",0.3010149497948566
5OHbx4rEsh2yhlD6Rp9dGG,jazz,Chasing the Bird,Various Artists,0.78,0.304,"[0.78, 0.304]",0.3080016233723452
7oB0QBEnGRIJjvlDc8YnM6,jazz,Rhapsody in Blue,George Gershwin,0.0771,0.184,"[0.0771, 0.184]",0.5479605916487061
4JpLVWSzaaQlgAET15YZb3,jazz,I Let A Song Go Out Of My Heart,Lena Horne,0.296,0.229,"[0.296, 0.229]",0.3510697936308392
6T4Med9aMXFnxLOEO2J87S,jazz,Groove Merchant,The Thad Jones - Mel Lewis Orchestra,0.385,0.34,"[0.385, 0.34]",0.20930360723121808
4fKbuhnNdYd9L0NTKECcJ5,jazz,In A Sentimental Mood,Duke Ellington,0.264,0.244,"[0.264, 0.244]",0.36317626574433526
2uwWxQaPESir0zpeVcHRvC,jazz,Maputo,Bob James,0.74,0.513,"[0.74, 0.513]",0.2085041966004521
4LbJFM4QRgvKoYU7nzj3Dx,jazz,Blue bossa,Dexter Gordon,0.592,0.411,"[0.592, 0.411]",0.09700515450222218
16nJl8NnriCJxraco5Zssm,jazz,Better Git It in Your Soul,Charles Mingus,0.76,0.548,"[0.76, 0.548]",0.23479565583715556
1s6yfG2M25p8S36LSl9XFn,jazz,One Note Samba (Samba De Uma Nota So),Coleman Hawkins,0.628,0.201,"[0.628, 0.201]",0.3023144058757372
09GsoLPdIpzs7WFIq0vbnZ,jazz,Like Someone In Love,Ben Webster,0.529,0.356,"[0.529, 0.356]",0.13206059215375343
3s8Anp8dKObIw8Zy8uGgYC,jazz,Dominoes,Donald Byrd,0.823,0.603,"[0.823, 0.603]",0.31196954979612984
1g6pSS6fGslaQXDiS8iMkW,jazz,The General,Troyka,0.219,0.277,"[0.219, 0.277]",0.3783080755151812
08rTZ8jNknn8VBS3v2o8pT,jazz,Lullaby Of The Leaves - 1998 Digital Remaster,Gerry Mulligan,0.492,0.082,"[0.492, 0.082]",0.40806494581132546
3l2pObHGPzGmgRWDlAbUJN,jazz,"The ""In"" Crowd - Live At The Bohemian Caverns, Washington, D.C., 1965",Ramsey Lewis Trio,0.645,0.515,"[0.645, 0.515]",0.11520850663036997
